,boro_cd,depression,has_ac,heavy_drinking,obesity,poor_health,psych_distress,smoking
0,101,15.450469238199224,190917.60262358622,22979.43030768634,29608.40070450021,193628.63151921632,783.8125885051493,19742.160869651525
1,102,10.060813307345503,205340.4450019959,26585.111250498972,28165.95549980041,188580.84424930142,4190.240350278903,29838.311501397126
2,103,13.629195302331206,187683.97143612005,22170.992859030008,29931.602856388,194760.609997358,6349.802128696813,17478.780005284025
3,104,13.400787644299134,206684.08554586864,26918.262960826974,27977.63484225862,187850.7208586729,3077.4179774763284,30812.102899710397
4,105,11.529956048562587,243372.72529687898,32661.920501144512,27199.236417387627,231404.9732116033,5058.484379388853,25167.80900136911
5,106,10.002243583413007,271943.4262248903,36990.49488307296,26668.177912916963,267450.4184361855,7000.013452711459,19498.04108535332
6,107,13.69999617962164,175000.5797583007,19000.14906261104,26000.065783317455,171000.2705456882,9999.852219106098,14000.343385988386
7,108,9.986509237279334,288767.4552610093,39962.349899401495,26008.85884719965,281764.13319330936,6020.696261472324,19981.174949700748
8,109,14.52537218986076,151775.4772053129,10430.774510618816,53538.57264320655,142038.41003639158,7726.09833308568,12589.233418981648
9,110,15.392750402465863,119227.38990685472,8010.33091132513,44101.062491248435,114181.83082993593,7002.572224782874,10017.109596176673
10,111,12.494380438200073,81508.43553867769,6125.451275028908,34627.03294276521,71821.96079672688,4188.115405877142,3438.9514283163917
11,112,13.500000001921572,192999.99992515988,10999.99999696594,77999.999965614,173999.9999393188,7999.999998988647,15999.999993931882
12,201,16.135026725473494,325999.99999999994,7999.999999999999,144000.0,324000.0,9000.0,45000.0
13,202,18.299855100613676,325979.8589853007,7999.855100613674,143990.87133866147,323979.2793877554,9000.434698158979,44996.6673141145
14,203,15.283653657387362,326000.0,7999.999999999999,144000.0,324000.0,8636.132206335855,44999.99999999999
15,204,11.981789710200802,326000.0,8000.0,144000.0,324000.0,8923.448722342,45000.0
16,205,18.56583815574313,309486.72815464315,7708.603319850078,135743.3653864033,307195.27911122405,8815.032071808911,44708.5195386194
17,206,18.60800446882507,281642.7119311384,7219.08893356903,121829.69762118287,278857.9508698088,10084.140619326423,44190.85563764583
18,207,16.829165623367395,152738.5097825517,5274.689844808331,58549.741507846426,148104.00629017316,14480.502669464075,38733.229995096626
19,208,10.293758114478658,70254.84338746758,6824.3650343092,27985.794416743593,67991.39093893139,3229.4447598355982,8249.246865279794
20,209,17.561770975637277,210122.66473421847,7166.350106001572,91480.05667809905,204788.06515822478,11364.634153944282,25826.052438036157
21,210,16.166857920959764,175668.57920959764,7000.0,73537.84484534479,167181.1941580459,10894.49553264367,18959.862714770094
22,211,15.581533696881847,171575.8678808446,6706.3368576037365,68773.38571571224,161920.35606638162,10646.932468925977,22011.25886938396
23,212,14.56289211554478,149346.34804520017,6377.17860354642,55713.29336499376,137515.37779567082,10514.218558513365,20718.114209994892
24,301,15.111278321394577,117439.38714613018,17468.32413773046,24183.180451166852,112553.49444672704,7704.284818684185,13292.225511051493
25,302,13.746397951301423,195689.2982711903,25752.18086901447,43048.51927886493,186742.8513044836,5280.21582426823,13549.039773146127
26,303,14.203280465285259,179856.4496799259,24069.181780351453,52224.32284346493,174933.6497286704,11008.018268393058,25550.997909774072
27,304,15.22931552757125,140484.320820149,15532.349442355468,45285.211062856455,133960.59352025128,9183.28574806155,22980.799691623877
28,305,12.884911974220671,112403.0512233434,2183.907278021864,61539.07511057448,122835.10704844231,6114.593017233666,18611.687637635558
29,306,14.002749279657232,191606.27978029827,24901.322108957473,39001.54350433461,180670.75523000074,4021.1416763465254,10997.887281037973
30,307,15.665819502308185,90924.64317082934,5850.993719942704,21677.961249943608,89796.75583125337,5149.779451521096,5785.921468495713
31,308,12.045254181784305,221315.0757444154,30857.54387546327,70273.6048899959,225948.0948620486,13771.691914805144,30540.764602973144
32,309,11.241402610422885,217448.4156625373,15828.052208457691,77068.77911661693,215621.0391563433,12482.80522084577,21138.2339354975
33,310,15.566348760095757,135568.7047400214,14681.400346642364,31419.531723572898,125568.21894518305,7471.438363956238,15743.740250434077
34,311,13.788324376527319,169956.78078862064,14713.812527046372,38116.65097616662,153373.58601345235,9452.521901881892,18581.25148588972
35,312,10.087636132804217,193542.8143941,8630.578687269532,38448.43048653203,174168.26817011405,8704.462949815625,10556.694424723437
36,313,13.28584391524305,202243.96424780105,12454.820426273138,50635.53872118059,175984.93105821768,15921.685105324088,30882.527657986135
37,314,10.39571719748291,210388.78813819893,10136.73647666345,62166.33633765986,199051.02115278778,10705.11095431453,14978.594306507019
38,315,12.595887415189297,216986.10153758762,10998.867235543845,55042.411220530106,187042.26068827987,17984.85823642703,33960.348013591094
39,316,11.994397573075702,220010.8867849809,30454.181830483918,70605.5479629521,224929.90704215548,13867.40261049134,30628.562527296293
40,317,11.138322499665609,212384.98156897092,13550.675555010124,76501.67487562675,210002.09497203247,12071.659282944249,19544.657530647986
41,318,11.00439129365849,143734.00384238252,5763.53742769098,56766.06963179596,144317.07200015523,8682.772319909554,13443.10039027949
42,401,15.261539731340106,186946.91720028696,17867.375537824264,44737.38870821281,179079.5416624627,8676.393010806933,9970.8209675792
43,402,14.035096559559971,218242.3636526076,16387.185502917204,56155.9975489244,211855.17814969042,8253.481572262059,11239.555283213822
44,403,10.4,311000.0,12000.0,90000.0,309000.0,7000.0,15000.0
45,404,10.421259921420598,310247.2124280245,11992.355281442571,89710.84659886472,308106.21242989495,6993.437281587282,15027.743881638184
46,405,14.339859876613634,225434.52216131546,10406.218945544193,63155.91514131155,204609.57683928608,6212.646607290725,21297.349258431055
47,406,15.391860465374553,203367.08882725702,9986.535640767746,55977.09794836129,177818.27633076205,5993.468786585065,22704.40694201428
48,407,12.170978464766517,183915.2531299833,7613.774400501223,31897.678686641746,165364.39328932067,5668.926293334786,12742.867933420886
49,408,18.585332930978772,159857.4678979147,6806.024052225284,35140.54791147385,150997.7479809488,4919.3336604702645,5656.598556416749
50,409,12.848723009094973,198880.1984166053,9978.094055358268,60051.762879500675,190826.05065673834,11946.401130893748,21950.58955536278
51,410,12.962039092477573,199295.84733385043,9983.111548910589,60361.68616097514,191363.81473146167,11987.571378422037,21747.992111556225
52,411,12.517735182183577,146508.43059002745,6799.844769487397,24653.042367922095,136314.6271437347,810.2292337295787,3956.4610965010643
53,412,17.361040161882837,211408.24493172116,1302.8435919036529,71253.61412014885,205373.85660856136,11513.142394660501,13740.256533817093
54,413,4.354703863582515,154508.1900141434,34.73036217279969,60491.411048042966,164412.5479395414,3484.5518309708345,8308.974730351634
55,414,12.2,74000.0,2999.9999999999995,23999.999999999996,79000.0,5000.0,7000.0
56,501,12.08369848117135,144041.07526226316,10528.080644669737,53408.21505245264,127953.06182148485,3304.9207360835844,20440.067203891445
57,502,8.438662776187964,192440.58993033972,14158.04424477548,63088.117986067955,175747.5825562105,3478.528643534252,23465.036870646232
58,503,10.399342400319558,216999.99999999997,16000.0,68000.0,200000.0,4999.671200159779,25000.0
