variable,domain,n,n_missing,mean,std,median,q25,q75,iqr,min,max,skewness,shapiro_w,shapiro_p,normal_at_05
late_night_share,Behavioral,59,0,0.23619494717137313,0.03251226956902322,0.2271583324214903,0.2120823649252377,0.2521282893659803,0.04004592444074262,0.19071357356501922,0.3419671765099922,0.9740739318337783,0.9249883621077979,0.0013609092794921976,False
warm_season_ratio,Behavioral,59,0,1.1579000718762078,0.3970841240992699,1.0881024096385543,0.9254745546375186,1.264642639324992,0.3391680846874735,0.6222750693618708,2.736535729018655,1.8654781325480936,0.8414309893342741,2.0189549654075678e-06,False
weekend_uplift,Behavioral,59,0,1.6657560205473485,0.3287749722277798,1.6546508340401471,1.392167173321818,1.9280323244110469,0.5358651510892289,0.9978659500474233,2.383876134543513,0.1266236159833686,0.9756299840502112,0.2821337968367173,True
area_km2,Demographics,59,0,11.937589893558563,11.118074071127843,7.9431327669611,4.94509840906684,14.417828983756493,9.472730574689653,3.5045719536197106,55.77200026965786,2.370930551373737,0.7064580023404868,1.4644684253751739e-09,False
pct_hispanic,Demographics,59,0,0.301931596774633,0.20103066543401063,0.23674604809984987,0.14136820189960925,0.43566925026239123,0.294301048362782,0.07228816873336445,0.7347197655928963,0.7982049697159804,0.8699350144769897,1.4402150879122446e-05,False
pct_nonhisp_black,Demographics,59,0,0.20707750801481478,0.20313962932399401,0.1305322371893596,0.04412569537295957,0.3115128137160157,0.2673871183430561,0.006147821481071495,0.8054318620463462,1.0525877601247138,0.8485984749440788,3.2441552612855323e-06,False
pop_density,Demographics,59,0,18317.083918806245,10049.358903875533,16472.612963382027,10559.184815403185,24102.358309229596,13543.17349382641,2572.522327559154,44684.37061467267,0.7486059791971471,0.9462161207675561,0.01126935503525456,False
population,Demographics,59,0,146016.16949152542,44334.18527158151,139443.0,116870.0,173917.5,57047.5,50450.0,257420.0,0.2519064200019335,0.9879522136335783,0.8265129817526754,True
poverty_rate,Demographics,59,0,0.1787833358817395,0.08772508716483655,0.15195075264341845,0.11174856113624784,0.2383410783906139,0.12659251725436604,0.06144193175383111,0.3924168306049691,0.797634633580997,0.915686630044313,0.0005785540529521483,False
rent_burden_rate,Demographics,59,0,0.4970269212154949,0.06537285371149389,0.5084881569189503,0.45382367543681634,0.5418121657857006,0.08798849034888423,0.33022226516494374,0.6047928538056069,-0.37182234168191214,0.9758909006114069,0.2900169984537888,True
no2_mean_primary,Environment,59,0,16.60857963023213,2.4384059900160087,16.596832275390625,15.219921112060547,17.72348848978678,2.5035673777262346,10.195413907368978,24.99809201558431,0.37138366874955764,0.9536470994311144,0.024940655646268718,False
pm25_mean_primary,Environment,59,0,6.570875219032589,0.5457116806643261,6.56028938293457,6.24602198600769,6.704414367675781,0.4583923816680908,5.680329481760661,8.654508272806803,1.5385863235728205,0.8784375328257342,2.705354019804716e-05,False
radiance_raw,Environment,59,0,74.86705322050106,29.285117722891346,71.60382843017578,54.66823514302572,91.1109504699707,36.442715326944985,26.629751205444336,198.29223124186197,1.4981243797477712,0.8954237501760592,0.00010239576374597716,False
tmin_mean_primary,Environment,59,0,20.445927577415812,0.26054235260267555,20.45141599489295,20.297970574835073,20.63271905373836,0.3347484789032862,19.849883259206578,20.939578491708506,-0.3016253016393098,0.979582429280227,0.42251674073395656,True
z_air,Environment,59,0,0.0161127836954309,1.2697917161784888,-0.04128039122893545,-0.6416645711806062,0.473285907787288,1.1149504789678941,-2.6675368300042184,4.71862864641361,1.036669199768408,0.9251943482838245,0.0013875834480089424,False
z_heat,Environment,59,0,-0.0210237537535558,0.9980250748606042,0.0,-0.5877830429888724,0.6944936094615851,1.2822766524504576,-2.304211762760951,1.869939407400133,-0.30162530163927415,0.979582429280227,0.42251674073395656,True
z_light,Environment,59,0,0.1219394887900344,1.094320040370064,0.0,-0.6328456421125586,0.7289379807206913,1.3617836228332498,-1.6805817367673996,4.734065247445949,1.4981243797477728,0.8954237501760589,0.00010239576374597484,False
z_noise_obj,Environment,59,0,-0.09581451323836573,1.3275092477568684,0.0,-0.7075831640018062,0.6346549163533074,1.3422380803551137,-2.8348075174400864,3.62653443988711,0.011443920495987631,0.9757741536991038,0.28646641058548244,True
ghlth,Health,59,0,21.47236104129046,7.17736752949175,21.128155683504556,17.21891558202835,24.40104612867309,7.182130546644739,8.476798074857207,38.44725590630859,0.3685728913032871,0.9685547020266055,0.1302099436551038,True
mammouse,Health,59,0,78.43630011690533,2.661621295116559,78.28369680362643,76.22895215178644,80.7588166752683,4.529864523481862,73.63853237503406,82.76577215468005,0.05042389543599308,0.9457308705666697,0.01070979531217936,False
mhlth,Health,59,0,15.687304200413081,2.020456944001206,15.482573425436785,14.158385466834766,17.02018624084343,2.861800774008664,11.543614672970541,19.860107053833154,0.2409301816171224,0.9777112330638011,0.35038487141911007,True
sleep,Health,59,0,39.52922321327279,4.411638715681464,39.56201902913202,36.81850815710613,43.293524317432414,6.475016160326284,30.884808136283983,48.56197195939037,-0.12053254803787733,0.9777263299780562,0.3509256664365049,True
dot_exposure_index,Noise,59,0,52.47282938654109,1.9947269334451336,52.06841375896576,51.038660420712326,53.4110264653883,2.372366044675971,49.045381447441954,57.036284285976244,0.7336188285932463,0.9341583649919638,0.003296369072445046,False
dot_pct_above_65dB,Noise,59,0,0.081510222576737,0.048713706997150025,0.07716143727552155,0.04120704342420404,0.10339112371905401,0.062184080294849974,0.013572522772544553,0.24426604099521412,1.061119162548262,0.9211488195348015,0.0009513350626533008,False
dot_pct_above_70dB,Noise,59,0,0.02093466814453207,0.016431028661695435,0.016164166925438,0.006795609949528273,0.03424351871101873,0.027447908761490458,0.0,0.0566475760557269,0.5992729560254552,0.9184637804536465,0.0007437162804678703,False
noise_obj_db_mean,Noise,59,0,66.27358763096696,5.446705617682087,66.66670989990234,63.76353073120117,69.27066802978516,5.507137298583984,55.0356330871582,81.54620361328125,0.011443920495990018,0.975774153699104,0.28646641058549127,True
rate_per_1k_pop,Noise,59,0,48.77294183607834,35.04216243476204,41.29101427885185,27.86691814866431,64.26128788279146,36.39436973412715,9.415153516994291,259.05847724436,3.729005935246842,0.6827574606169913,5.21351486379571e-10,False
rate_per_km2,Noise,59,0,986.8519952352901,841.7442738742535,758.3147071642126,362.1749057601709,1476.2574662156335,1114.0825604554625,28.365487921376737,3626.499145124772,1.1297672792109756,0.8806672741984007,3.203804083917841e-05,False
