boro_cd,non_noise_311_count,homeless_count,streetlight_count,drug_alcohol_count,quality_of_life_count,population,non_noise_311_per_1k,homeless_per_1k,broken_streetlight_rate,drug_alcohol_complaint_rate,quality_of_life_rate
101,6603,1479,100,31,1046,72470.0,30.37118807782531,6.802814957913619,0.4599604434018675,0.1425877374545789,4.8111862379835335
102,10146,376,206,116,1415,85706.0,39.460481179847385,1.4623635840353455,0.8011885593385139,0.4511547227343087,5.5033097643883355
103,15837,582,195,280,2979,155194.0,34.01549028957305,1.2500483266105649,0.4188306248952924,0.601397820362471,6.398443238785005
104,15123,628,183,94,2937,116457.0,43.28636320702062,1.7975161075189414,0.5237984835604558,0.2690549587687587,8.406536318126005
105,17603,5531,195,91,1805,50450.0,116.30657416584076,36.54443343244136,1.288404360753221,0.6012553683515031,11.925999339279814
106,9051,421,87,41,1325,143639.0,21.004044862467712,0.9769862873824888,0.2018950285089704,0.0951459329754917,3.074838077866503
107,15287,505,218,87,3277,220646.0,23.09430792611997,0.762911330064145,0.3293359801068983,0.1314322489417438,4.950614710139016
108,11578,313,141,29,2127,211135.0,18.278984220206663,0.4941546088205808,0.2226063892770028,0.0457842928300218,3.3580410637743627
109,15099,109,110,64,2881,114528.0,43.94558535903884,0.3172441091552575,0.3201546055695259,0.1862717705131787,8.385140169507311
110,21594,163,89,177,4088,135884.0,52.97165229166054,0.3998508531786917,0.2183234719810034,0.4341938712431192,10.028161274812833
111,12366,305,159,447,2947,125413.0,32.867406090277726,0.8106549294464424,0.4226037173179814,1.1880746015165893,7.832787137962838
112,32390,137,175,134,8497,202680.0,53.26952174199065,0.2253141240707848,0.2878100124991777,0.2203802381422274,13.974409578317216
201,11734,70,89,73,4219,100606.0,38.877734263695345,0.2319278505589461,0.2948796957106601,0.2418676155829009,13.978622878688482
202,7923,28,75,20,2541,55508.0,47.57872739064639,0.1681439312051116,0.4503855300136917,0.1201028080036511,15.259061756863876
203,13484,46,59,174,3861,88856.0,50.58371597491072,0.1725638486239909,0.2213318928003361,0.6527415143603134,14.48410912037454
204,32140,439,125,219,8024,153883.0,69.61999267842019,0.950938916796094,0.2707684842813479,0.4743863844609216,17.381170542988286
205,19983,51,54,83,5850,137347.0,48.49760096689407,0.1237740904424559,0.1310549192920121,0.2014362648377224,14.197616256634657
206,13386,17,61,47,2482,87409.0,51.047374984269354,0.0648293272622575,0.2326228801763357,0.1792340224309472,9.465081780289596
207,29500,122,78,163,9788,139443.0,70.51865875901503,0.2916364870711808,0.1864561146848533,0.3896454704311678,23.397851929940305
208,21448,31,153,54,12247,106607.0,67.06251309326154,0.0969292197823157,0.4783926008611067,0.1688444473627435,38.29329531206519
209,25180,37,238,144,11250,172669.0,48.609381726501766,0.0714276061906499,0.4594532506317482,0.2779885213906375,21.71785323364356
210,15575,27,662,13,8019,129124.0,40.20682961081338,0.0697004429850376,1.7089516020775894,0.0335594725483514,20.70103156655618
211,20234,28,208,63,9377,117283.0,57.507624009163024,0.0795795923819593,0.5911626862659833,0.1790540828594084,26.650637063058294
212,26241,53,226,51,12103,161037.0,54.31670982445028,0.1097056370068162,0.4678013955384993,0.1055658016480684,25.052213673462205
301,21613,204,206,170,7232,201535.0,35.74730609240744,0.3374103753690426,0.3407183202256019,0.2811753128075355,11.961528601318216
302,19907,219,315,50,10482,126308.0,52.53560080649418,0.5779523070589353,0.8313012635779206,0.1319525815203048,27.66253918991671
303,21079,127,160,46,7813,182441.0,38.51290736914034,0.2320384855012488,0.2923319502377938,0.0840454356933657,14.274934545049268
304,15531,103,126,84,6917,115024.0,45.00799833078314,0.2984884313998238,0.365141187925998,0.243427458617332,20.045092038762924
305,36443,93,299,105,18823,205303.0,59.169455227963866,0.1509963322503811,0.4854613262673544,0.1704797299601077,30.56133292418198
306,10166,112,137,41,3193,120661.0,28.084191799062385,0.3094067953467428,0.3784708121652121,0.1132649875822897,8.820856228054907
307,13680,144,177,83,6001,122767.0,37.14353205666018,0.390984547964844,0.4805851735401207,0.2253591491741809,16.293738002340476
308,14878,64,150,74,5130,110281.0,44.96997065073161,0.1934452293081612,0.4533872561910029,0.2236710463875614,15.505844161732302
309,17710,114,343,40,5586,99978.0,59.04632352450873,0.3800836183960471,1.143584922016177,0.13336267312142,18.62409730140631
310,18213,96,129,111,9559,127569.0,47.589931723224296,0.2508446409394131,0.3370724862623364,0.2900391160861965,24.97733252854011
311,28946,41,140,44,19872,188487.0,51.19009091696863,0.0725072109305504,0.2475855982994406,0.0778126166083956,35.14300721004632
312,20061,57,263,38,9431,192058.0,34.81760718116402,0.0989284486977892,0.456459333465238,0.0659522991318594,16.368319292435967
313,7797,67,72,30,3301,110299.0,23.56322360130191,0.2024799257775077,0.2175903679997098,0.0906626533332124,9.975913955097807
314,27366,84,160,42,10618,164539.0,55.43974376895448,0.1701724211281216,0.3241379450059459,0.0850862105640608,21.51060437545709
315,18240,77,177,37,9325,157254.0,38.66356340697216,0.163217893768468,0.375189184376868,0.078429377525108,19.7663228492333
316,10608,91,133,16,4126,94660.0,37.35474329178111,0.3204451017677301,0.468342841045144,0.0563419959152052,14.529192196633565
317,23802,79,145,60,8201,158546.0,50.042259028925365,0.1660927007514117,0.3048536912525912,0.1261463550010722,17.242104289396558
318,19866,35,232,39,10502,200230.0,33.071967237676674,0.0582663270572175,0.3862225107792705,0.0649253358637566,17.48322762156853
401,28335,186,178,148,14297,171270.0,55.1468441641852,0.3620015180708822,0.3464315603043926,0.2880442186800568,27.82546077343765
402,16454,213,177,132,7511,124372.0,44.09888613728707,0.5708680410381758,0.4743833017077798,0.353777377544785,20.13046880862788
403,21811,91,173,145,13959,161901.0,44.90604340512618,0.1873572944783128,0.3561847466455838,0.2985363483445645,28.739785424426035
404,20632,80,176,129,12669,175166.0,39.2618049925975,0.1522365451438445,0.3349203993164579,0.2454814290444492,24.10855988034207
405,44721,54,315,144,32576,184935.0,80.60669965122881,0.0973314948495417,0.5677670532889935,0.2595506529321112,58.716125485530945
406,12416,132,131,25,5177,122344.0,33.828113080058415,0.3596416661217551,0.3569171080450751,0.068113951916999,14.105037162972168
407,25254,86,260,139,13149,250032.0,33.66769053561144,0.1146519912117915,0.3466222990123931,0.1853096137027793,17.529756191207525
408,16264,34,218,2407,5035,159983.0,33.88693382005171,0.0708408601747269,0.4542149270026607,5.01511618942846,10.490697969992643
409,27375,64,146,57,18513,150819.0,60.50298702418131,0.1414499057368987,0.3226825974623002,0.1259788222969254,40.91659538917511
410,19561,39,119,108,10739,138303.0,47.14527763919317,0.0939965148984476,0.2868098787926991,0.2602980412572395,25.882783935754585
411,12363,27,181,43,6164,123356.0,33.40737377995396,0.0729595641882032,0.4890993006690662,0.1161948614849163,16.656398283558698
412,27167,157,239,61,12333,257420.0,35.17856680392613,0.203299406935488,0.3094812627871442,0.0789889415481832,15.970010100225313
413,15804,41,274,36,6782,206684.0,25.488184861914807,0.0661234864172682,0.4418984214227193,0.0580596466102843,10.937792314193002
414,10471,29,170,47,3906,134226.0,26.003407188870515,0.0720178405574677,0.4221735480955006,0.1167185691793442,9.700058110947207
501,15518,338,164,61,3733,182838.0,28.290982545568575,0.6162103428536009,0.2989896338106229,0.1112095589173658,6.805660384238141
502,10886,25,179,34,3195,141364.0,25.66895862218575,0.0589494732275072,0.4220782283089518,0.0801712835894098,7.533742678475425
503,14679,25,141,45,3239,168027.0,29.120319948579695,0.0495952039453976,0.2797169502520428,0.0892713671017158,6.425554623165723
